Tipo de Delito,Sexo del infractor,Periodo,Total
 Robo con violencia,Hombres,2020-01-01T00:00:00Z,5.901
 Robo con violencia,Hombres,2019-01-01T00:00:00Z,6.483
 Robo con violencia,Hombres,2018-01-01T00:00:00Z,6.407
 Robo con violencia,Hombres,2017-01-01T00:00:00Z,6.695
 Robo con violencia,Hombres,2016-01-01T00:00:00Z,7.062
 Robo con violencia,Hombres,2015-11-29T00:00:00Z,7.331
 Robo con violencia,Mujeres,2020-01-01T00:00:00Z,583
 Robo con violencia,Mujeres,2019-01-01T00:00:00Z,788
 Robo con violencia,Mujeres,2018-01-01T00:00:00Z,856
 Robo con violencia,Mujeres,2017-01-01T00:00:00Z,840
 Robo con violencia,Mujeres,2016-01-01T00:00:00Z,820
 Robo con violencia,Mujeres,2015-11-29T00:00:00Z,856
